column,n_missing,pct_missing
estimated_delivery_days,0,0.0
purchase_month,0,0.0
purchase_dayofweek,0,0.0
customer_state,0,0.0
seller_state,0,0.0
same_state,0,0.0
distance_km,475,0.5
n_items,0,0.0
n_unique_sellers,0,0.0
price_sum,0,0.0
freight_sum,0,0.0
freight_to_price_ratio,0,0.0
weight_sum,0,0.0
volume_sum,0,0.0
payment_value_sum,0,0.0
payment_installments_max,0,0.0
payment_type_main,0,0.0
top_category,0,0.0
approval_lag_hrs,14,0.01
carrier_pickup_lag_hrs,16,0.02
actual_delivery_days,8,0.01
is_late,0,0.0
estimation_error,8,0.01
seller_phase_days,2,0.0
logistics_phase_days,9,0.01
