top_category,n,diss_rate,diss_pct
office_furniture,1236,0.36084142394822005,36.1
home_confort,369,0.3143631436314363,31.4
audio,339,0.31268436578171094,31.3
fashion_male_clothing,104,0.28846153846153844,28.8
bed_bath_table,9084,0.2573756054601497,25.7
fixed_telephony,204,0.25,25.0
home_construction,471,0.24203821656050956,24.2
furniture_living_room,404,0.2400990099009901,24.0
telephony,4042,0.23948540326571005,23.9
art,191,0.2356020942408377,23.6
furniture_decor,6094,0.2353134230390548,23.5
construction_tools_safety,153,0.23529411764705882,23.5
fashion_underwear_beach,116,0.23275862068965517,23.3
unknown,1370,0.2321167883211679,23.2
signaling_and_security,136,0.22794117647058823,22.8
computers_accessories,6469,0.22692842788684495,22.7
market_place,261,0.2260536398467433,22.6
baby,2728,0.22470674486803519,22.5
watches_gifts,5434,0.2228560912771439,22.3
consoles_games,997,0.2156469408224674,21.6
air_conditioning,237,0.21518987341772153,21.5
construction_tools_construction,719,0.21279554937413073,21.3
kitchen_dining_laundry_garden_furniture,235,0.2127659574468085,21.3
electronics,2483,0.2094240837696335,20.9
christmas_supplies,122,0.20491803278688525,20.5
auto,3768,0.20408704883227177,20.4
construction_tools_lights,227,0.2026431718061674,20.3
housewares,5637,0.20010643959552954,20.0
home_appliances_2,226,0.19911504424778761,19.9
agro_industry_and_commerce,177,0.1977401129943503,19.8
garden_tools,3376,0.1963862559241706,19.6
home_appliances,744,0.1922043010752688,19.2
health_beauty,8530,0.1899179366940211,19.0
toys,3737,0.1891891891891892,18.9
cool_stuff,3495,0.18912732474964233,18.9
fashion_shoes,229,0.18777292576419213,18.8
industry_commerce_and_business,225,0.18666666666666668,18.7
sports_leisure,7432,0.18420344456404736,18.4
fashion_bags_accessories,1793,0.18404907975460122,18.4
perfumery,3034,0.18325642715886617,18.3
musical_instruments,601,0.17970049916805325,18.0
pet_shop,1669,0.17675254643499103,17.7
drinks,282,0.17375886524822695,17.4
computers,174,0.1724137931034483,17.2
small_appliances,601,0.16971713810316139,17.0
costruction_tools_garden,186,0.16666666666666666,16.7
stationery,2231,0.16270730614074405,16.3
luggage_accessories,1009,0.14965312190287414,15.0
food,431,0.14849187935034802,14.8
food_drink,219,0.1461187214611872,14.6
books_technical,252,0.12698412698412698,12.7
books_general_interest,489,0.09611451942740286,9.6
