customer_state,n_diss,n_fn,fn_rate
PR,367,273,0.7438692098092643
MG,916,598,0.6528384279475983
SP,3071,2000,0.6512536633018561
RS,378,233,0.6164021164021164
GO,163,83,0.50920245398773
ES,184,87,0.47282608695652173
MS,65,26,0.4
PI,47,18,0.3829787234042553
DF,163,62,0.3803680981595092
RJ,1136,431,0.37940140845070425
SC,229,82,0.35807860262008734
SE,32,10,0.3125
PA,98,28,0.2857142857142857
AL,30,8,0.26666666666666666
MT,57,15,0.2631578947368421
TO,22,5,0.22727272727272727
PB,45,10,0.2222222222222222
PE,135,29,0.21481481481481482
CE,122,25,0.20491803278688525
RN,40,6,0.15
BA,342,50,0.14619883040935672
MA,66,6,0.09090909090909091
